iter	Passed	Remaining
864	5175	807
865	5182	801
866	5188	796
867	5195	790
868	5201	784
869	5208	778
870	5215	772
871	5221	766
872	5228	760
873	5235	754
874	5241	748
875	5248	742
876	5254	736
877	5261	731
878	5268	725
879	5274	719
880	5278	712
881	5284	707
882	5291	701
883	5298	695
884	5305	689
885	5311	683
886	5318	677
887	5325	671
888	5331	665
889	5337	659
890	5343	653
891	5350	647
892	5357	641
893	5364	636
894	5371	630
895	5375	623
896	5382	618
897	5388	612
898	5395	606
899	5402	600
900	5408	594
901	5415	588
902	5421	582
903	5428	576
904	5435	570
905	5441	564
906	5448	558
907	5455	552
908	5462	546
909	5468	540
910	5475	534
911	5481	528
912	5488	522
913	5495	517
914	5501	511
915	5508	505
916	5514	499
917	5520	493
918	5527	487
919	5534	481
920	5541	475
921	5547	469
922	5554	463
923	5561	457
924	5568	451
925	5575	445
926	5581	439
927	5587	433
928	5594	427
929	5600	421
930	5607	415
931	5613	409
932	5620	403
933	5626	397
934	5633	391
935	5639	385
936	5646	379
937	5653	373
938	5660	367
939	5667	361
940	5674	355
941	5681	349
942	5688	343
943	5694	337
944	5701	331
945	5707	325
946	5714	319
947	5721	313
948	5728	307
949	5734	301
950	5741	295
951	5748	289
952	5754	283
953	5761	277
954	5768	271
955	5774	265
956	5781	259
957	5788	253
958	5794	247
959	5801	241
960	5807	235
961	5814	229
962	5820	223
963	5827	217
964	5833	211
965	5840	205
966	5846	199
967	5853	193
968	5859	187
969	5866	181
970	5872	175
971	5879	169
972	5885	163
973	5892	157
974	5899	151
975	5905	145
976	5912	139
977	5918	133
978	5925	127
979	5931	121
980	5938	115
981	5944	108
982	5951	102
983	5958	96
984	5964	90
985	5971	84
986	5977	78
987	5984	72
988	5990	66
989	5996	60
990	6003	54
991	6009	48
992	6016	42
993	6022	36
994	6029	30
995	6035	24
996	6042	18
997	6048	12
998	6055	6
999	6061	0
